Id,Genre,Title,Author,Purchase,Member
267,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,18/02/1947,
268,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,09/03/1947,
269,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,01/04/1947,
270,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,24/05/1947,
271,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,26/05/1947,
272,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,06/06/1947,
273,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,20/06/1947,
274,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,27/06/1947,
275,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,04/07/1947,
276,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/07/1947,
277,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,01/08/1947,
278,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,03/08/1947,
279,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,21/12/1947,
280,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,01/01/1948,
281,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,24/01/1948,
282,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,07/02/1948,
283,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,24/02/1948,
284,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/03/1948,
285,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,17/07/1948,
286,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,21/08/1948,
287,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,28/11/1948,
288,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,23/01/1949,
289,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,30/04/1949,
290,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,05/05/1949,
291,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,20/06/1949,
292,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,21/06/1949,
293,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,26/07/1949,
294,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/09/1949,
295,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/10/1949,
296,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,19/11/1949,
297,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,20/02/1950,
298,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,21/02/1950,
299,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,26/02/1950,
300,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/03/1950,
301,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,14/03/1950,
302,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,02/04/1950,
303,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,18/04/1950,
304,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,24/04/1950,
305,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,18/07/1950,
306,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,27/07/1950,
307,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,26/08/1950,
308,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,29/08/1950,
309,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,05/10/1950,
310,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,23/10/1950,
311,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,26/10/1950,
312,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,28/10/1950,
313,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,03/11/1950,
314,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,17/12/1950,
315,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,26/12/1950,
316,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,14/02/1951,
317,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,28/03/1951,
318,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,03/04/1951,
319,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,04/04/1951,
320,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,29/07/1951,
321,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,01/08/1951,
322,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,13/10/1951,
323,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,10/02/1952,
324,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/03/1952,
325,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,21/03/1952,
326,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,01/04/1952,
327,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,04/04/1952,
328,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,27/06/1952,
329,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,09/07/1952,
330,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,11/07/1952,
331,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,25/07/1952,
332,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,22/09/1952,
333,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,26/09/1952,
334,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,06/12/1952,
335,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,19/12/1952,
336,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,23/12/1952,
337,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,18/02/1953,
338,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,09/03/1953,
339,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,19/04/1953,
340,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,24/05/1953,
341,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,15/06/1953,
342,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,18/06/1953,
343,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,19/06/1953,
344,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,03/08/1953,
345,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,25/08/1953,
346,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,04/09/1953,
347,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,19/09/1953,
348,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,04/10/1953,
349,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,26/10/1953,
350,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,06/01/1954,
351,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,11/01/1954,
352,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,18/02/1954,
353,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,27/03/1954,
354,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,11/06/1954,
355,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,08/07/1954,
356,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,15/07/1954,
357,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,24/07/1954,
358,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,25/10/1954,
359,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,29/10/1954,
360,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,06/11/1954,
361,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,21/11/1954,
362,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,28/11/1954,
363,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,02/03/1955,
364,The Lord of the Rings,J.R.R. Tolkien,Classics;Fantasy;Fiction,18/03/1955,
365,It,Stephen King,Fantasy;Fiction;Horror,05/04/1955,
366,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,13/04/1955,
367,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,12/05/1955,
368,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,17/05/1955,
369,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,22/05/1955,
370,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,04/08/1955,
371,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/09/1955,
372,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,11/09/1955,
373,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,21/09/1955,
374,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,22/10/1955,
375,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,08/11/1955,
376,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,28/11/1955,
377,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,03/02/1956,
378,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,18/04/1956,
379,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,27/08/1956,
380,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,27/09/1956,
381,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,10/10/1956,
382,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,01/11/1956,
383,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,16/11/1956,
384,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,30/12/1956,
385,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,13/01/1957,
386,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,27/01/1957,
387,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,12/02/1957,
388,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,15/02/1957,
389,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,19/02/1957,
390,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,10/03/1957,
391,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,16/03/1957,
392,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,30/03/1957,
393,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,08/04/1957,
394,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,11/04/1957,
395,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,03/05/1957,
396,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,02/08/1957,
397,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,13/08/1957,
398,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,06/10/1957,
399,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,02/11/1957,
400,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,15/11/1957,
401,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,18/11/1957,
402,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/11/1957,
403,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,15/01/1958,
404,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,20/01/1958,
405,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,03/02/1958,
406,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,20/03/1958,
407,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,16/04/1958,
408,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,14/01/1959,
409,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,15/01/1959,
410,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,17/02/1959,
411,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/02/1959,
412,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,04/03/1959,
413,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,09/04/1959,
414,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,11/06/1959,
415,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,18/07/1959,
416,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,20/07/1959,
417,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,12/08/1959,
418,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,05/09/1959,
419,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,11/09/1959,
420,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,21/09/1959,
421,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,25/12/1959,
422,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,02/01/1960,
423,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,02/03/1960,
424,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,18/04/1960,
425,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,23/04/1960,
426,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,15/09/1960,
427,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,26/09/1960,
428,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,29/10/1960,
429,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,05/11/1960,
430,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,20/02/1961,
431,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,02/03/1961,
432,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,13/03/1961,
433,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/04/1961,
434,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,28/04/1961,
435,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,03/06/1961,
436,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,09/06/1961,
437,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,21/06/1961,
438,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,23/06/1961,
439,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,30/08/1961,
440,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,21/09/1961,
441,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,22/09/1961,
442,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,30/09/1961,
443,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,17/10/1961,
444,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,21/10/1961,
445,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,01/12/1961,
446,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,11/12/1961,
447,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/05/1962,
448,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,15/06/1962,
449,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,01/08/1962,
450,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,03/09/1962,
451,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,01/10/1962,
452,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,15/11/1962,
453,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,27/12/1962,
454,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,07/01/1963,
455,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,17/01/1963,
456,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,19/01/1963,
457,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,27/04/1963,
458,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,27/05/1963,
459,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,10/06/1963,
460,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,13/06/1963,
461,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,25/06/1963,
462,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,29/06/1963,
463,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,03/07/1963,
464,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,05/07/1963,
465,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,13/07/1963,
466,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,01/08/1963,
467,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,04/10/1963,
468,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,15/10/1963,
469,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,12/02/1964,
470,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,29/02/1964,
471,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,20/07/1964,
472,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,05/08/1964,
473,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,06/09/1964,
474,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,11/12/1964,
475,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,29/12/1964,
476,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,01/01/1965,
477,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,04/01/1965,
478,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,17/01/1965,
479,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,01/02/1965,
480,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,10/02/1965,
481,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,11/03/1965,
482,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,05/04/1965,
483,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,09/04/1965,
484,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,15/04/1965,
485,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,22/05/1965,
486,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,10/06/1965,
487,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/08/1965,
488,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,07/09/1965,
489,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,28/10/1965,
490,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,23/11/1965,
491,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,16/12/1965,
492,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,22/04/1966,
493,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,17/06/1966,
494,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,19/06/1966,
495,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,22/07/1966,
496,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,27/07/1966,
497,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,11/08/1966,
498,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,16/09/1966,
499,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,02/10/1966,
500,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,16/11/1966,
501,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,03/12/1966,
502,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,04/12/1966,
503,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,10/01/1967,
504,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,12/01/1967,
505,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,26/01/1967,
506,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,05/02/1967,
507,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,13/03/1967,
508,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,17/03/1967,
509,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,10/04/1967,
510,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,27/04/1967,
511,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,13/07/1967,
512,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,07/11/1967,
513,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,18/11/1967,
514,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,18/01/1968,
515,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,05/02/1968,
516,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,11/02/1968,
517,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,01/04/1968,
518,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,08/06/1968,
519,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,10/06/1968,
520,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,13/06/1968,
521,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,24/06/1968,
522,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,21/10/1968,
523,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,01/11/1968,
524,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,15/12/1968,
525,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,21/01/1969,
526,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,04/03/1969,
527,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,17/04/1969,
528,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,07/09/1969,
529,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,12/10/1969,
530,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,06/12/1969,
531,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,02/01/1970,
532,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,17/01/1970,
533,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,27/01/1970,
