Id,Title,Author,Genre,Purchase,Member
267,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,29/04/2006,
268,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,01/05/2006,
269,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,08/05/2006,
270,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,29/05/2006,
271,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,01/06/2006,
272,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/06/2006,
273,It,Stephen King,Fantasy;Fiction;Horror,17/06/2006,
274,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,20/06/2006,
275,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,07/07/2006,
276,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,08/07/2006,
277,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,22/07/2006,
278,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,03/08/2006,PHIW
279,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,11/08/2006,
280,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,14/08/2006,CORF
281,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,15/08/2006,
282,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,24/08/2006,
283,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,02/09/2006,
284,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,14/09/2006,
285,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,19/09/2006,
286,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,23/09/2006,
287,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,30/09/2006,SSOK
288,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,20/10/2006,
289,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,13/11/2006,
290,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,16/11/2006,
291,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,16/11/2006,
292,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,22/11/2006,
293,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,26/11/2006,
294,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,10/01/2007,
295,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,10/01/2007,
296,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,16/01/2007,
297,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,23/01/2007,
298,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,28/01/2007,GEJJ
299,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,30/01/2007,
300,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,03/02/2007,SSVT
301,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,04/02/2007,
302,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,07/02/2007,
303,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,10/02/2007,
304,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,14/02/2007,
305,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,17/02/2007,PHQP
306,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,22/02/2007,
307,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,01/03/2007,
308,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,08/03/2007,MADP
309,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,12/03/2007,
310,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,17/03/2007,
311,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,26/03/2007,
312,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,27/03/2007,
313,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,11/05/2007,
314,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,24/05/2007,
315,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,14/06/2007,
316,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,15/06/2007,
317,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,16/06/2007,
318,It,Stephen King,Fantasy;Fiction;Horror,19/06/2007,
319,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,22/06/2007,
320,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,24/06/2007,
321,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,28/06/2007,
322,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,04/07/2007,
323,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,09/07/2007,
324,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,12/07/2007,
325,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,14/07/2007,
326,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,18/07/2007,GEMR
327,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,25/07/2007,
328,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,02/08/2007,
329,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,08/08/2007,
330,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,14/08/2007,CHSA
331,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,16/08/2007,
332,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,17/08/2007,
333,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,24/08/2007,GEZP
334,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,26/08/2007,
335,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,19/09/2007,
336,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,21/09/2007,
337,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,27/09/2007,
338,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,01/10/2007,
339,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,07/10/2007,
340,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,08/10/2007,
341,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,09/10/2007,
342,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,10/10/2007,
343,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,11/10/2007,
344,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,14/10/2007,MAEQ
345,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,16/10/2007,
346,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,17/10/2007,
347,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,03/11/2007,
348,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,22/11/2007,
349,It,Stephen King,Fantasy;Fiction;Horror,24/11/2007,
350,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/11/2007,
351,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,26/11/2007,
352,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,27/11/2007,
353,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,29/11/2007,
354,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,13/12/2007,
355,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,15/12/2007,
356,It,Stephen King,Fantasy;Fiction;Horror,17/12/2007,
357,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,17/12/2007,
358,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,02/01/2008,MAZY
359,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,13/01/2008,
360,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,15/01/2008,COOZ
361,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,17/01/2008,
362,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,30/01/2008,
363,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,05/02/2008,
364,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,18/02/2008,ENQJ
365,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,21/02/2008,
366,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,01/03/2008,
367,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,21/03/2008,
368,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,28/03/2008,
369,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,11/04/2008,
370,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,20/04/2008,
371,It,Stephen King,Fantasy;Fiction;Horror,23/04/2008,SSKC
372,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,03/05/2008,
373,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,04/05/2008,
374,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,04/05/2008,
375,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,05/06/2008,
376,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,08/06/2008,
377,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,10/06/2008,
378,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,12/06/2008,
379,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,16/06/2008,GEPN
380,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,21/06/2008,
381,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,23/06/2008,
382,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,02/07/2008,
383,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/07/2008,
384,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,22/07/2008,
385,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,23/07/2008,
386,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,24/07/2008,
387,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,30/07/2008,
388,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,11/08/2008,
389,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,13/08/2008,MALW
390,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,26/09/2008,
391,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,30/09/2008,
392,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,01/10/2008,
393,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,04/10/2008,
394,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,06/10/2008,
395,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,08/10/2008,
396,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,21/10/2008,
397,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,26/10/2008,
398,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,29/10/2008,
399,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,01/11/2008,
400,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,02/11/2008,
401,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,11/11/2008,
402,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,21/11/2008,
403,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,01/12/2008,
404,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,04/12/2008,
405,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,11/12/2008,
406,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,23/12/2008,
407,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,23/12/2008,FAWH
408,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,16/01/2009,
409,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,18/01/2009,
410,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,21/01/2009,
411,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,25/01/2009,
412,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,26/01/2009,
413,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,03/02/2009,FAIF
414,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,22/02/2009,
415,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,28/02/2009,
416,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,04/03/2009,
417,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,08/03/2009,
418,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,14/03/2009,
419,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,16/03/2009,
420,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,26/03/2009,
421,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,05/05/2009,
422,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,11/05/2009,
423,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,16/05/2009,
424,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,28/06/2009,
425,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,29/06/2009,
426,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,01/07/2009,MABW
427,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,15/07/2009,
428,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,21/07/2009,
429,It,Stephen King,Fantasy;Fiction;Horror,30/07/2009,
430,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,31/07/2009,
431,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,04/08/2009,
432,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,08/08/2009,
433,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,16/08/2009,
434,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,21/08/2009,SSVD
435,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,08/09/2009,
436,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/09/2009,GEVK
437,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,12/10/2009,
438,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,31/10/2009,
439,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,09/11/2009,
440,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,13/11/2009,
441,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,13/11/2009,MAHK
442,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,27/11/2009,
443,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,18/12/2009,
444,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,02/01/2010,FAIF
445,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,05/01/2010,
446,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,06/01/2010,
447,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,12/01/2010,GEXP
448,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,17/01/2010,
449,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,31/01/2010,MAGP
450,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,01/02/2010,
451,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,10/02/2010,
452,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,13/02/2010,
453,Watership Down,Richard  Adams,Animals;Classics;Fantasy;Fiction;Young Adult,19/02/2010,
454,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,27/02/2010,
455,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,13/03/2010,
456,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,16/03/2010,
457,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,20/03/2010,
458,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,22/03/2010,
459,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,28/03/2010,
460,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,03/04/2010,
461,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,23/04/2010,COYX
462,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,30/04/2010,
463,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/05/2010,
464,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,25/05/2010,
465,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,30/05/2010,
466,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,11/06/2010,
467,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,12/06/2010,
468,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,13/06/2010,
469,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,26/06/2010,
470,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,27/06/2010,
471,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/07/2010,
472,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,14/07/2010,
473,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,07/08/2010,
474,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,08/08/2010,
475,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,13/08/2010,
476,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,18/08/2010,
477,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,22/08/2010,
478,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,02/09/2010,
479,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,10/09/2010,
480,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,13/09/2010,
481,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,19/09/2010,
482,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,01/10/2010,
483,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,04/10/2010,
484,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,06/10/2010,
485,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,15/10/2010,
486,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,04/11/2010,
487,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,05/11/2010,
488,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,10/11/2010,
489,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,13/11/2010,MABC
490,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,17/11/2010,
491,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,29/11/2010,
492,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,02/12/2010,
493,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,21/12/2010,
494,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,29/12/2010,PHMR
495,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,06/01/2011,
496,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,17/01/2011,
497,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,17/01/2011,SSOK
498,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,17/01/2011,
499,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,24/01/2011,
500,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,17/02/2011,
501,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,21/02/2011,
502,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,02/03/2011,
503,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,07/03/2011,FAPU
504,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,13/03/2011,
505,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,17/03/2011,
506,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,01/04/2011,CORF
507,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,09/04/2011,
508,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,10/04/2011,
509,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,10/04/2011,
510,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,16/04/2011,
511,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,23/04/2011,
512,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,08/05/2011,
513,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,09/05/2011,
514,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,11/05/2011,
515,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,30/05/2011,
516,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,04/06/2011,
517,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,19/06/2011,
518,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,10/07/2011,
519,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,11/07/2011,
520,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,25/07/2011,GEPH
521,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,19/08/2011,
522,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,20/08/2011,
523,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,30/08/2011,
524,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,03/09/2011,
525,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,14/09/2011,
526,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,15/09/2011,
527,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,11/10/2011,
